Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
376,Nightfang,Stonetoth,Stonetoth Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,village,3280,995.5,162.2,70.29,-50.31,361,11°C,Antwerp (Belgium),,,,,,,,{t1:sable;division:{division:perFess;t:argent;line:straight};ordinaries:[{ordinary:crossParted;t:or;line:straight;divided:counter}];shield:heater},https://watabou.github.io/village-generator/?pop=3280&name=Nightfang&seed=5864998610376&width=1600&height=780&style=default&tags=isolated%2Cno+square%2Cdense
377,Frostshoutbi,Frostshoutbi,Frostshoutbi Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,town,3087,1670.2,163,70.19,31.68,400,10°C,London (England),,,,,,,,{t1:argent;charges:[{charge:spear;t:sable;p:e;t2:sable;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frostshoutbi&population=3087&size=20&seed=5864998610377&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
378,Snowclawlash,Frosthunia,Frosthunia Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Whisperers,city,3540,1542.55,177.8,68.39,16.17,324,11°C,Antwerp (Belgium),,port,citadel,walls,,,,{t1:potentEnPointe-sable-or;division:{division:perBend;t:argent;line:straight};ordinaries:[{ordinary:bend;t:purpure;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Snowclawlash&population=3540&size=21&seed=5864998610378&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
379,Grumphok,,,Neutrals,undefined,Manis,The Whisperers,town,7459,2496.95,195.5,66.24,132.16,256,12°C,Paris (France),,port,,,,,,{t1:purpure;division:{division:perCross;t:argent;line:straight};charges:[{charge:cavalier;t:or;p:jlmo;t2:or;t3:or;divided:counter;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Grumphok&population=7459&size=28&seed=5864998610379&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
380,Grumork,,,Neutrals,undefined,Manis,The Whisperers,town,16484,2527.47,198.5,65.87,135.87,441,11°C,Antwerp (Belgium),,,,,,,,{t1:or;ordinaries:[{ordinary:terrace;t:vert;line:straight}];charges:[{charge:frog;t:vert;p:bdf;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Grumork&population=16484&size=37&seed=5864998610380&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
381,Whisnadowf,Thornsuria,Thornsuria Governorate,Relience,Reliencean Republic,Salmon-Kin,The Whisperers,village,6301,1186.4,236.8,61.22,-27.11,484,12°C,Paris (France),,,,,,,,{t1:argent;ordinaries:[{ordinary:chief;t:gules;line:straight}];charges:[{charge:lionHeadCaboshed;t:argent;p:b;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=6301&name=Whisnadowf&seed=5864998610381&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
382,Iron,Thornsuria,Thornsuria Governorate,Relience,Reliencean Republic,Small-Paws,The Whisperers,town,2607,1167.67,243.18,60.44,-29.39,324,13°C,Milan (Italy),,,,,,,,{t1:or;ordinaries:[{ordinary:bendSinister;t:gules;line:straight}];charges:[{charge:armEmbowedHoldingSabre;t:purpure;p:ai;t2:purpure;t3:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Iron&population=2607&size=19&seed=5864998610382&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
383,Grunthrakmak,Grunokia,Grunokia Canton,Scute,Scutean Confederacy,Manis,True Smelt,city,2605,2333.17,239.79,60.86,112.26,484,12°C,Paris (France),,,citadel,walls,,temple,,{t1:semy_of_crossBiparted-argent-azure;division:{division:perPile;t:gules;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Grunthrakmak&population=2605&size=19&seed=5864998610383&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&style=natural
384,Grunthrak,Grugia,Grugia Canton,Scute,Scutean Confederacy,Manis,True Smelt,town,38415,2373.96,241.93,60.6,117.21,225,14°C,Washington (D.C.),,,,,,,,{t1:gules;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:ramHeadErased;t:gules;p:e;t2:argent;t3:gules;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grunthrak&population=38415&size=52&seed=5864998610384&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
385,Snow,,,Neutrals,undefined,Canid-Kin,Toxic Liquidity,village,3147,1718.32,258.67,58.56,37.53,256,14°C,Washington (D.C.),,port,,,,,,{t1:purpure;charges:[{charge:basilisk;t:or;p:jln;t2:or;t3:or;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=3147&name=Snow&seed=5864998610385&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
386,Nighthornder,Nighthornder,Nighthornder Governorate,Relience,Reliencean Republic,Small-Paws,Cult of the Crushed,city,14772,1064.99,292.22,54.48,-41.87,289,15°C,Rome (Italy),,,,,,,,{t1:purpure;charges:[{charge:goutte;t:or;p:kn;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Nighthornder&population=14772&size=36&seed=5864998610386&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
387,Monsper,,,Neutrals,undefined,Sylvan Ancients,The Whisperers,city,26074,932.46,303.11,53.16,-57.98,225,16°C,Dubrovnik (Croatia),,port,,,,,,{t1:argent;division:{division:perPale;t:palyBendy-or-azure-smallest;line:bevilled};charges:[{charge:crescent;t:purpure;p:p;size:0.7};{charge:ouroboros;t:sable;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Monsper&population=26074&size=45&seed=5864998610387&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
388,Whisperent,,,Neutrals,undefined,Salmon-Kin,Cult of the Crushed,town,3982,1258.49,329.51,49.95,-18.35,324,16°C,Dubrovnik (Croatia),,,,,,,,{t1:semy_of_mascle-or-sable;charges:[{charge:grapeBunch;t:azure;p:e;t2:azure;t3:azure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Whisperent&population=3982&size=22&seed=5864998610388&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
389,Cadowg,Canopysper,Canopysper Province,Canopy,Confederacy of Canopy,Canopy-Climbers,Toxic Liquidity,town,34697,1755.64,339.37,48.75,42.07,324,17°C,Lisbon (Portugal),,,,,plaza,,,{t1:argent;charges:[{charge:bullPassant;t:vert;p:e;t2:vert;t3:vert;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cadowg&population=34697&size=50&seed=5864998610389&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
390,Scutainfle,,,Neutrals,undefined,Stone-Scales,The Whisperers,town,2581,2655.03,390.2,42.58,151.37,289,18°C,Barcelona (Spain),,,,walls,,,,{t1:sable;charges:[{charge:helmet;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutainfle&population=2581&size=19&seed=5864998610390&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
391,Canopytanopy,Canopytanopy,Canopytanopy Province,Canopy,Confederacy of Canopy,Canopy-Climbers,The Whisperers,city,12083,1729.93,407.14,40.52,38.94,1024,14°C,Washington (D.C.),,,,walls,,,,{t1:argent;division:{division:perFess;t:or;line:straight};charges:[{charge:bell;t:gules;p:kmo;t2:gules;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopytanopy&population=12083&size=33&seed=5864998610391&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
392,Canopyfopys,Canopyfopy,Canopyfopy Province,Canopy,Confederacy of Canopy,Canopy-Climbers,True Smelt,city,3817,1839.51,402.58,41.07,52.26,961,15°C,Rome (Italy),,port,citadel,,,,,{t1:sable;charges:[{charge:bell;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopyfopys&population=3817&size=22&seed=5864998610392&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
393,Windskerwing,,,Neutrals,undefined,Reliance,The Whisperers,town,3536,1179.01,427.13,38.09,-28.01,676,17°C,Lisbon (Portugal),,port,,,,,,{t1:azure;charges:[{charge:plaice;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Windskerwing&population=3536&size=21&seed=5864998610393&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
394,Windlash,Frostia,Frostia Community,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,town,19882,898.22,441.45,36.35,-62.14,324,20°C,Alexandria (Egypt),,,,,,,,{t1:azure;division:{division:perFess;t:argent;line:straight};charges:[{charge:castle;t:or;p:giz;t2:or;divided:field;size:0.4};{charge:mulletPierced;t:purpure;p:kn;divided:division;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Windlash&population=19882&size=40&seed=5864998610394&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
395,Canopyshano,Canopywindia,Canopywindia Province,Canopy,Confederacy of Canopy,Canopy-Climbers,True Smelt,town,2265,1732.98,451.03,35.18,39.31,2116,8°C,Prague (Czechia),,,,walls,,,,{t1:vair-azure-argent;charges:[{charge:crown;t:or;p:pq;t2:or;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Canopyshano&population=2265&size=18&seed=5864998610395&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
396,Thunder,Stormradowia,Stormradowia Canton,Meridian Chain,Meridian Chainese League,Penguins,The Whisperers,city,5483,2225.67,519.54,26.86,99.19,324,22°C,Guangzhou (China),,port,,walls,,,,{t1:sable;ordinaries:[{ordinary:cross;t:or;line:wavy}];charges:[{charge:scaleImbalanced;t:gules;p:beh;t2:argent;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Thunder&population=5483&size=25&seed=5864998610396&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.02
397,Duskvile,Duskvile,Duskvile Council,Dusk Husk,Dusk Husk Commonwealth,Drifters,The Whisperers,town,4411,2040.26,557.96,22.19,76.66,225,24°C,Dakar (Senegal),,,,walls,,,,{t1:or;ordinaries:[{ordinary:fess;t:azure;line:straight}];charges:[{charge:lozenge;t:argent;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Duskvile&population=4411&size=23&seed=5864998610397&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
398,Grimzok,,,Neutrals,undefined,Ursine,The Strangler,village,24580,898.06,589.89,18.31,-62.16,1156,18°C,Barcelona (Spain),,,,,,,,{t1:argent;ordinaries:[{ordinary:bar;t:gules;line:straight}];charges:[{charge:key;t:argent;p:def;size:0.3}];shield:heater},https://watabou.github.io/village-generator/?pop=24580&name=Grimzok&seed=5864998610398&width=1600&height=780&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
399,Caver,Calew,Calew County,Avian,Empire of Avian,Canopy-Climbers,The Blind Spot,town,10213,1514.39,608.85,16,12.75,1764,16°C,Dubrovnik (Croatia),,,,,,,,{t1:or;ordinaries:[{ordinary:cross;t:sable;line:wavy}];charges:[{charge:crossCeltic2;t:or;p:behdf;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Caver&population=10213&size=31&seed=5864998610399&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
400,Murmula,Murmula,Murmula Province,Prism,Prisman Protectorate,Crows,The Blind Spot,town,3144,1989.11,668.16,8.79,70.44,289,26°C,Jakarta (Indonesia),,port,,walls,,,,{t1:murrey;ordinaries:[{ordinary:gemelle;t:argent;line:firTrees}];charges:[{charge:dolphin;t:or;p:abc;t2:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Murmula&population=3144&size=20&seed=5864998610400&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
401,Pneumen,Cres,Cres Province,Prism,Prisman Protectorate,Crows,The Whisperers,town,2504,2150.23,668.43,8.76,90.02,361,26°C,Jakarta (Indonesia),,,,walls,,,,{t1:sable;ordinaries:[{ordinary:bend;t:argent;line:straight}];charges:[{charge:mullet6;t:sable;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Pneumen&population=2504&size=18&seed=5864998610401&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
402,Celumia,,,Neutrals,undefined,Orcas,The Whisperers,town,16325,243.07,738.75,0.21,-141.76,289,27°C,Mogadishu (Somalia),,,citadel,walls,,,,{t1:purpure;charges:[{charge:cannon;t:argent;p:jln;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Celumia&population=16325&size=37&seed=5864998610402&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
403,Canopybougho,Canopybougho,Canopybougho Province,Ursine,Ursinean Oligarchy,Ailurus,The Whisperers,town,22147,1150.87,761.75,-2.58,-31.43,441,26°C,Jakarta (Indonesia),,,,walls,,,,{t1:gules;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:gear;t:gules;p:ach;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopybougho&population=22147&size=42&seed=5864998610403&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
404,Nightnail,Shadowhis,Shadowhis County,Sumpkin,Marches of Sumpkin,Toads,The Whisperers,town,8699,536.85,779.08,-4.69,-106.06,256,27°C,Mogadishu (Somalia),,port,,,,,,{t1:argent;charges:[{charge:armillarySphere;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nightnail&population=8699&size=29&seed=5864998610404&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
405,Heartwarp,Heartnail,Heartnail Canton,Heartlands,Heartlands Federation,Equines,The Null-Equation,town,14821,1283.58,777.46,-4.49,-15.3,784,24°C,Dakar (Senegal),,,,,,,,{t1:purpure;division:{division:chevronny;t:argent};charges:[{charge:trefle;t:or;p:bhdf;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartwarp&population=14821&size=36&seed=5864998610405&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
406,Cerisperule,,,Neutrals,undefined,Orcas,The Whisperers,town,4775,183.27,813.08,-8.82,-149.03,324,26°C,Jakarta (Indonesia),,,,,,,,{t1:gules;charges:[{charge:trowel;t:or;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cerisperule&population=4775&size=23&seed=5864998610406&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
407,Shadowpelt,Shadowhis,Shadowhis County,Sumpkin,Marches of Sumpkin,Frogs,The Whisperers,town,11204,547.03,811.44,-8.62,-104.82,324,26°C,Jakarta (Indonesia),,,,,,,,{t1:argent;charges:[{charge:pillar;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Shadowpelt&population=11204&size=32&seed=5864998610407&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
408,Nightstorm,Nightstorm,Nightstorm Canton,Meridian Chain,Meridian Chainese League,Moray-Kin,The Whisperers,town,14888,2261.81,948.34,-25.26,103.58,324,24°C,Dakar (Senegal),,,,,,,,{t1:purpure;charges:[{charge:lochaberAxe;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nightstorm&population=14888&size=36&seed=5864998610408&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
409,Ironshaker,,,Neutrals,undefined,Serpent-Kin,The Whisperers,town,15607,2545.47,953.77,-25.92,138.06,2809,7°C,Montreal (Canada),,,,,,,,{t1:purpure;charges:[{charge:skull2;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ironshaker&population=15607&size=37&seed=5864998610409&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
410,Anweaver,,,Neutrals,undefined,Serpent-Kin,The Whisperers,city,10925,2594.65,955.23,-26.1,144.03,324,23°C,Rio de Janeiro (Brazil),,port,citadel,walls,,,,{t1:or;division:{division:chevronny;t:vert};charges:[{charge:mascle;t:azure;p:ABCDEFGHIJKL;size:0.18};{charge:crossArrowed;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Anweaver&population=10925&size=32&seed=5864998610410&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
411,Ceruxorarina,Nightstorm,Nightstorm Canton,Meridian Chain,Meridian Chainese League,Walrus-Kin,The Whisperers,village,2773,2252.99,969.71,-27.86,102.51,1936,12°C,Paris (France),,,,,,,,{t1:masoned-argent-sable;division:{division:perCross;t:purpure;line:straight};shield:heater},https://watabou.github.io/village-generator/?pop=2773&name=Ceruxorarina&seed=5864998610411&width=1600&height=780&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
412,Rara,,,Neutrals,undefined,Orcas,The Frozen Heart,town,2348,353.9,984.5,-29.66,-128.29,256,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:argent;charges:[{charge:plough;t:vert;p:e;t2:vert;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Rara&population=2348&size=18&seed=5864998610412&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
413,Frosthorn,Snow,Snow County,Iron Caladra,Iron Caladran Kingdom,Widow Spiders,The Null-Equation,town,4657,901.88,985.69,-29.8,-61.69,324,23°C,Rio de Janeiro (Brazil),,port,,,,,,{t1:argent;charges:[{charge:wolfHeadErased;t:sable;p:e;t2:sable;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frosthorn&population=4657&size=23&seed=5864998610413&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
414,Hearthrob,Heartshavia,Heartshavia Canton,Heartlands,Heartlands Federation,Beavers,Wreckless Motion,town,3765,1283.4,993.67,-30.77,-15.33,361,23°C,Rio de Janeiro (Brazil),,port,,,,,,{t1:sable;division:{division:perCross;t:vair-azure-argent;line:straight};ordinaries:[{ordinary:pale;t:or;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Hearthrob&population=3765&size=21&seed=5864998610414&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
415,Stormwing,,,Neutrals,undefined,Moray-Kin,The Whisperers,town,21138,2312,1044.8,-36.98,109.68,1849,12°C,Paris (France),,,,,,,,{t1:or;division:{division:perPale;t:gules;line:straight};ordinaries:[{ordinary:orle;t:azure}];charges:[{charge:carreau;t:azure;p:e;size:1.1}];shield:heater},https://watabou.github.io/city-generator/?name=Stormwing&population=21138&size=41&seed=5864998610415&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
416,Sharebonsur,Glomtouch,Glomtouch Province,Heartlands,Heartlands Federation,Catfish,Wreckless Motion,town,3219,1179.66,1088.87,-42.34,-27.93,324,21°C,Tegucigalpa (Honduras),,,,,,,,{t1:or;charges:[{charge:lambPassantReguardant;t:azure;p:e;t2:azure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Sharebonsur&population=3219&size=20&seed=5864998610416&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
417,Ironshard,,,Neutrals,undefined,Crocodilians,The Whisperers,town,3469,2749.26,1093.47,-42.9,162.82,361,21°C,Tegucigalpa (Honduras),,port,,walls,,,,{t1:gules;division:{division:perPale;t:argent;line:engrailed};charges:[{charge:pegasus;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ironshard&population=3469&size=21&seed=5864998610417&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.03
418,Darkrave,Darkrave,Darkrave Prefecture,RiverFolk,RiverFolk Trade Company,Catfish,The Whisperers,city,17768,1342.57,1131.3,-47.5,-8.13,361,20°C,Alexandria (Egypt),,,citadel,walls,,,,{t1:gules;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:pegasus;t:vert;p:ach;t2:argent;t3:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Darkrave&population=17768&size=38&seed=5864998610418&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
419,Helse,Marysantia,Marysantia County,Flower Valley,Flower Valley Marches,Corpse-Lilies,The Whisperers,village,30308,1639.5,1159.61,-50.94,27.95,2209,8°C,Prague (Czechia),,,,walls,,,,{t1:gules;charges:[{charge:axe;t:argent;p:jln;t2:argent;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=30308&name=Helse&seed=5864998610419&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cpalisade%2Cdense
420,Chainroth's,,,Neutrals,undefined,Crocodilians,The Whisperers,town,2905,2642.78,1232.91,-59.85,149.88,289,18°C,Barcelona (Spain),,,,,,,,{t1:fretty-sable-or;division:{division:perFess;t:argent;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Chainroth%27s&population=2905&size=19&seed=5864998610420&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
421,Heartspire,Heartspire,Heartspire Province,Vaneer,Protectorate of Vaneer,Beavers,The Whisperers,town,7180,845.62,1259.15,-63.04,-68.53,361,18°C,Barcelona (Spain),,,,walls,,,,{t1:bendy-or-azure-smaller;charges:[{charge:pillar;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartspire&population=7180&size=27&seed=5864998610421&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
422,Heartcradle,,,Neutrals,undefined,Beavers,The Whisperers,village,41520,616.65,1286.31,-66.34,-96.36,289,17°C,Lisbon (Portugal),,port,,,,,,{t1:gules;division:{division:perCross;t:argent;line:dovetailed};charges:[{charge:anchor;t:or;p:j;size:0.6};{charge:ouroboros;t:vert;p:l;size:0.6};{charge:mullet;t:purpure;p:m;size:0.6};{charge:bridge2;t:argent;p:o;size:0.6}];shield:heater},https://watabou.github.io/village-generator/?pop=41520&name=Heartcradle&seed=5864998610422&width=1600&height=780&style=default&tags=estuary%2Chighway%2Cfarmland%2Cno+square%2Cdense
423,Heartsheat,,,Neutrals,undefined,Beavers,The Whisperers,town,42252,789.68,1283.66,-66.02,-75.33,289,17°C,Lisbon (Portugal),,port,citadel,,,,,{t1:gules;charges:[{charge:crossHummetty;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartsheat&population=42252&size=54&seed=5864998610423&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.7
424,Darkclaw,Lighthorn,Lighthorn Canton,RiverFolk,RiverFolk Trade Company,Small-Paws,The Whisperers,town,24295,1711.53,1305.86,-68.71,36.71,1936,6°C,Stockholm (Sweden),,,,,,,,{t1:or;charges:[{charge:hand;t:gules;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Darkclaw&population=24295&size=43&seed=5864998610424&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
425,Aetreara,,,Neutrals,undefined,Crustacean-Kin,The Whisperers,village,8834,156.39,1347.88,-73.82,-152.29,324,16°C,Dubrovnik (Croatia),,,,,,,,{t1:gules;charges:[{charge:pillar;t:or;p:jln;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=8834&name=Aetreara&seed=5864998610425&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
426,Astheristix,,,Neutrals,undefined,Crustacean-Kin,The Whisperers,village,2699,434.53,1390.98,-79.06,-118.49,225,16°C,Dubrovnik (Croatia),,,citadel,,,,,{t1:azure;ordinaries:[{ordinary:pale;t:or;line:wavy}];charges:[{charge:scissors2;t:purpure;p:e;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=2699&name=Astheristix&seed=5864998610426&width=1600&height=780&style=default&tags=isolated%2Cno+square%2Cdense
427,Thunderg,Thunderblast,Thunderblast Canton,Meridian Chain,Meridian Chainese League,Penguins,Toxic Liquidity,town,5742,1921.1,37.1,85.49,62.18,441,6°C,Stockholm (Sweden),,,,,,,,{t1:purpure;charges:[{charge:horseSalient;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Thunderg&population=5742&size=25&seed=5864998610427&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
428,Light,Thunderblast,Thunderblast Canton,Meridian Chain,Meridian Chainese League,Penguins,The Whisperers,town,2516,1952.5,35.3,85.71,65.99,289,7°C,Montreal (Canada),,,,,,,,{t1:purpure;charges:[{charge:lute;t:or;p:beh;t2:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Light&population=2516&size=18&seed=5864998610428&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
